audio_path,face_path,identity,facenet_feats_path,label,wav2vec2_feats_path,wav2vec2id_feats_path,wavlmsv_feats_path,ecappa_feats_path
./v1/voices/id0034/English/2sq8hNwrjHM/00101.wav,./v1/faces/id0034/English/2sq8hNwrjHM/0042700.jpg,id0034,./facenetfeats/v1/faces/id0034/English/2sq8hNwrjHM/0042700.npy,33.0,./wav2vec2feats/v1/voices/id0034/English/2sq8hNwrjHM/00101.npy,./wav2vec2featsid/v1/voices/id0034/English/2sq8hNwrjHM/00101.npy,./wavlmsvfeats/v1/voices/id0034/English/2sq8hNwrjHM/00101.npy,./ecappafeats/v1/voices/id0034/English/2sq8hNwrjHM/00101.npy
./v1/voices/id0030/English/YF6XsNhtPLs/00010.wav,./v1/faces/id0030/English/YF6XsNhtPLs/0005225.jpg,id0030,./facenetfeats/v1/faces/id0030/English/YF6XsNhtPLs/0005225.npy,29.0,./wav2vec2feats/v1/voices/id0030/English/YF6XsNhtPLs/00010.npy,./wav2vec2featsid/v1/voices/id0030/English/YF6XsNhtPLs/00010.npy,./wavlmsvfeats/v1/voices/id0030/English/YF6XsNhtPLs/00010.npy,./ecappafeats/v1/voices/id0030/English/YF6XsNhtPLs/00010.npy
./v1/voices/id0057/English/nvj6xI9zOLc/00000.wav,./v1/faces/id0057/English/nvj6xI9zOLc/0001800.jpg,id0057,./facenetfeats/v1/faces/id0057/English/nvj6xI9zOLc/0001800.npy,56.0,./wav2vec2feats/v1/voices/id0057/English/nvj6xI9zOLc/00000.npy,./wav2vec2featsid/v1/voices/id0057/English/nvj6xI9zOLc/00000.npy,./wavlmsvfeats/v1/voices/id0057/English/nvj6xI9zOLc/00000.npy,./ecappafeats/v1/voices/id0057/English/nvj6xI9zOLc/00000.npy
./v1/voices/id0006/English/3YdCvOC-kI0/00009.wav,./v1/faces/id0006/English/3YdCvOC-kI0/0003250.jpg,id0006,./facenetfeats/v1/faces/id0006/English/3YdCvOC-kI0/0003250.npy,5.0,./wav2vec2feats/v1/voices/id0006/English/3YdCvOC-kI0/00009.npy,./wav2vec2featsid/v1/voices/id0006/English/3YdCvOC-kI0/00009.npy,./wavlmsvfeats/v1/voices/id0006/English/3YdCvOC-kI0/00009.npy,./ecappafeats/v1/voices/id0006/English/3YdCvOC-kI0/00009.npy
./v1/voices/id0033/English/02L6RPzTSoI/00047.wav,./v1/faces/id0033/English/02L6RPzTSoI/0003075.jpg,id0033,./facenetfeats/v1/faces/id0033/English/02L6RPzTSoI/0003075.npy,32.0,./wav2vec2feats/v1/voices/id0033/English/02L6RPzTSoI/00047.npy,./wav2vec2featsid/v1/voices/id0033/English/02L6RPzTSoI/00047.npy,./wavlmsvfeats/v1/voices/id0033/English/02L6RPzTSoI/00047.npy,./ecappafeats/v1/voices/id0033/English/02L6RPzTSoI/00047.npy
./v1/voices/id0025/English/VlFa0S-juA0/00025.wav,./v1/faces/id0025/English/VlFa0S-juA0/0020875.jpg,id0025,./facenetfeats/v1/faces/id0025/English/VlFa0S-juA0/0020875.npy,24.0,./wav2vec2feats/v1/voices/id0025/English/VlFa0S-juA0/00025.npy,./wav2vec2featsid/v1/voices/id0025/English/VlFa0S-juA0/00025.npy,./wavlmsvfeats/v1/voices/id0025/English/VlFa0S-juA0/00025.npy,./ecappafeats/v1/voices/id0025/English/VlFa0S-juA0/00025.npy
./v1/voices/id0054/English/npX324mAtR0/00003.wav,./v1/faces/id0054/English/npX324mAtR0/0007100.jpg,id0054,./facenetfeats/v1/faces/id0054/English/npX324mAtR0/0007100.npy,53.0,./wav2vec2feats/v1/voices/id0054/English/npX324mAtR0/00003.npy,./wav2vec2featsid/v1/voices/id0054/English/npX324mAtR0/00003.npy,./wavlmsvfeats/v1/voices/id0054/English/npX324mAtR0/00003.npy,./ecappafeats/v1/voices/id0054/English/npX324mAtR0/00003.npy
./v1/voices/id0034/English/CH6GUdCGbgI/00030.wav,./v1/faces/id0034/English/CH6GUdCGbgI/0011025.jpg,id0034,./facenetfeats/v1/faces/id0034/English/CH6GUdCGbgI/0011025.npy,33.0,./wav2vec2feats/v1/voices/id0034/English/CH6GUdCGbgI/00030.npy,./wav2vec2featsid/v1/voices/id0034/English/CH6GUdCGbgI/00030.npy,./wavlmsvfeats/v1/voices/id0034/English/CH6GUdCGbgI/00030.npy,./ecappafeats/v1/voices/id0034/English/CH6GUdCGbgI/00030.npy
./v1/voices/id0018/English/KQrdbivDg9E/00005.wav,./v1/faces/id0018/English/KQrdbivDg9E/0018700.jpg,id0018,./facenetfeats/v1/faces/id0018/English/KQrdbivDg9E/0018700.npy,17.0,./wav2vec2feats/v1/voices/id0018/English/KQrdbivDg9E/00005.npy,./wav2vec2featsid/v1/voices/id0018/English/KQrdbivDg9E/00005.npy,./wavlmsvfeats/v1/voices/id0018/English/KQrdbivDg9E/00005.npy,./ecappafeats/v1/voices/id0018/English/KQrdbivDg9E/00005.npy
./v1/voices/id0025/English/VlFa0S-juA0/00069.wav,./v1/faces/id0025/English/VlFa0S-juA0/0007125.jpg,id0025,./facenetfeats/v1/faces/id0025/English/VlFa0S-juA0/0007125.npy,24.0,./wav2vec2feats/v1/voices/id0025/English/VlFa0S-juA0/00069.npy,./wav2vec2featsid/v1/voices/id0025/English/VlFa0S-juA0/00069.npy,./wavlmsvfeats/v1/voices/id0025/English/VlFa0S-juA0/00069.npy,./ecappafeats/v1/voices/id0025/English/VlFa0S-juA0/00069.npy
