audio_path,face_path,identity,facenet_feats_path,label,wav2vec2_feats_path,wav2vec2id_feats_path,wavlmsv_feats_path,ecappa_feats_path
./v1/voices/id0036/English/60nvH9rjIbk/00021.wav,./v1/faces/id0036/English/60nvH9rjIbk/0011525.jpg,id0036,./facenetfeats/v1/faces/id0036/English/60nvH9rjIbk/0011525.npy,35.0,./wav2vec2feats/v1/voices/id0036/English/60nvH9rjIbk/00021.npy,./wav2vec2featsid/v1/voices/id0036/English/60nvH9rjIbk/00021.npy,./wavlmsvfeats/v1/voices/id0036/English/60nvH9rjIbk/00021.npy,./ecappafeats/v1/voices/id0036/English/60nvH9rjIbk/00021.npy
./v1/voices/id0009/English/Vx6_0RMT3jw/00018.wav,./v1/faces/id0009/English/Vx6_0RMT3jw/0007850.jpg,id0009,./facenetfeats/v1/faces/id0009/English/Vx6_0RMT3jw/0007850.npy,8.0,./wav2vec2feats/v1/voices/id0009/English/Vx6_0RMT3jw/00018.npy,./wav2vec2featsid/v1/voices/id0009/English/Vx6_0RMT3jw/00018.npy,./wavlmsvfeats/v1/voices/id0009/English/Vx6_0RMT3jw/00018.npy,./ecappafeats/v1/voices/id0009/English/Vx6_0RMT3jw/00018.npy
./v1/voices/id0003/English/PFHTzgQ_Bxg/00010.wav,./v1/faces/id0003/English/PFHTzgQ_Bxg/0017350.jpg,id0003,./facenetfeats/v1/faces/id0003/English/PFHTzgQ_Bxg/0017350.npy,2.0,./wav2vec2feats/v1/voices/id0003/English/PFHTzgQ_Bxg/00010.npy,./wav2vec2featsid/v1/voices/id0003/English/PFHTzgQ_Bxg/00010.npy,./wavlmsvfeats/v1/voices/id0003/English/PFHTzgQ_Bxg/00010.npy,./ecappafeats/v1/voices/id0003/English/PFHTzgQ_Bxg/00010.npy
./v1/voices/id0002/English/a8YwLpyHArc/00011.wav,./v1/faces/id0002/English/a8YwLpyHArc/0008925.jpg,id0002,./facenetfeats/v1/faces/id0002/English/a8YwLpyHArc/0008925.npy,1.0,./wav2vec2feats/v1/voices/id0002/English/a8YwLpyHArc/00011.npy,./wav2vec2featsid/v1/voices/id0002/English/a8YwLpyHArc/00011.npy,./wavlmsvfeats/v1/voices/id0002/English/a8YwLpyHArc/00011.npy,./ecappafeats/v1/voices/id0002/English/a8YwLpyHArc/00011.npy
./v1/voices/id0036/English/PfvyzO1Vs9o/00003.wav,./v1/faces/id0036/English/PfvyzO1Vs9o/0000825.jpg,id0036,./facenetfeats/v1/faces/id0036/English/PfvyzO1Vs9o/0000825.npy,35.0,./wav2vec2feats/v1/voices/id0036/English/PfvyzO1Vs9o/00003.npy,./wav2vec2featsid/v1/voices/id0036/English/PfvyzO1Vs9o/00003.npy,./wavlmsvfeats/v1/voices/id0036/English/PfvyzO1Vs9o/00003.npy,./ecappafeats/v1/voices/id0036/English/PfvyzO1Vs9o/00003.npy
./v1/voices/id0054/English/L1lsne6_YtE/00009.wav,./v1/faces/id0054/English/L1lsne6_YtE/0016250.jpg,id0054,./facenetfeats/v1/faces/id0054/English/L1lsne6_YtE/0016250.npy,53.0,./wav2vec2feats/v1/voices/id0054/English/L1lsne6_YtE/00009.npy,./wav2vec2featsid/v1/voices/id0054/English/L1lsne6_YtE/00009.npy,./wavlmsvfeats/v1/voices/id0054/English/L1lsne6_YtE/00009.npy,./ecappafeats/v1/voices/id0054/English/L1lsne6_YtE/00009.npy
./v1/voices/id0011/English/ymgOryA8uUQ/00026.wav,./v1/faces/id0011/English/ymgOryA8uUQ/0007050.jpg,id0011,./facenetfeats/v1/faces/id0011/English/ymgOryA8uUQ/0007050.npy,10.0,./wav2vec2feats/v1/voices/id0011/English/ymgOryA8uUQ/00026.npy,./wav2vec2featsid/v1/voices/id0011/English/ymgOryA8uUQ/00026.npy,./wavlmsvfeats/v1/voices/id0011/English/ymgOryA8uUQ/00026.npy,./ecappafeats/v1/voices/id0011/English/ymgOryA8uUQ/00026.npy
./v1/voices/id0025/English/VlFa0S-juA0/00038.wav,./v1/faces/id0025/English/VlFa0S-juA0/0005850.jpg,id0025,./facenetfeats/v1/faces/id0025/English/VlFa0S-juA0/0005850.npy,24.0,./wav2vec2feats/v1/voices/id0025/English/VlFa0S-juA0/00038.npy,./wav2vec2featsid/v1/voices/id0025/English/VlFa0S-juA0/00038.npy,./wavlmsvfeats/v1/voices/id0025/English/VlFa0S-juA0/00038.npy,./ecappafeats/v1/voices/id0025/English/VlFa0S-juA0/00038.npy
./v1/voices/id0036/English/tFOCODiS3X0/00007.wav,./v1/faces/id0036/English/tFOCODiS3X0/0000875.jpg,id0036,./facenetfeats/v1/faces/id0036/English/tFOCODiS3X0/0000875.npy,35.0,./wav2vec2feats/v1/voices/id0036/English/tFOCODiS3X0/00007.npy,./wav2vec2featsid/v1/voices/id0036/English/tFOCODiS3X0/00007.npy,./wavlmsvfeats/v1/voices/id0036/English/tFOCODiS3X0/00007.npy,./ecappafeats/v1/voices/id0036/English/tFOCODiS3X0/00007.npy
./v1/voices/id0036/English/NOwArxRqV9c/00005.wav,./v1/faces/id0036/English/NOwArxRqV9c/0014075.jpg,id0036,./facenetfeats/v1/faces/id0036/English/NOwArxRqV9c/0014075.npy,35.0,./wav2vec2feats/v1/voices/id0036/English/NOwArxRqV9c/00005.npy,./wav2vec2featsid/v1/voices/id0036/English/NOwArxRqV9c/00005.npy,./wavlmsvfeats/v1/voices/id0036/English/NOwArxRqV9c/00005.npy,./ecappafeats/v1/voices/id0036/English/NOwArxRqV9c/00005.npy
